"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 08 15:11:24 MSK 2024","Thu Aug 08 15:11:31 MSK 2024","7312","","test.ConstructorTest","","test.ConstructorTest","goToSauces","goToSauces",""
"passed","Thu Aug 08 15:12:38 MSK 2024","Thu Aug 08 15:12:55 MSK 2024","17123","","test.OpenProfileTest","","test.OpenProfileTest","OpenConstructorFromProfilePage","OpenConstructorFromProfilePage",""
"passed","Thu Aug 08 15:17:12 MSK 2024","Thu Aug 08 15:17:28 MSK 2024","16048","","test.RegistrationTest","","test.RegistrationTest","RegistrationWithIncorrectPassword","RegistrationWithIncorrectPassword",""
"broken","Thu Aug 08 15:11:31 MSK 2024","Thu Aug 08 15:11:41 MSK 2024","9393","","test.ConstructorTest","","test.ConstructorTest","goToBuns","goToBuns",""
"passed","Thu Aug 08 15:12:03 MSK 2024","Thu Aug 08 15:12:15 MSK 2024","12325","","test.LoginTest","","test.LoginTest","LoginFromRegistrationPage","LoginFromRegistrationPage",""
"broken","Thu Aug 08 15:12:55 MSK 2024","Thu Aug 08 15:16:21 MSK 2024","206477","","test.OpenProfileTest","","test.OpenProfileTest","OpenProfilePage","OpenProfilePage",""
"passed","Thu Aug 08 15:12:27 MSK 2024","Thu Aug 08 15:12:38 MSK 2024","10395","","test.OpenProfileTest","","test.OpenProfileTest","LogoutFromProfilePage","LogoutFromProfilePage",""
"passed","Thu Aug 08 15:11:52 MSK 2024","Thu Aug 08 15:12:03 MSK 2024","10588","","test.LoginTest","","test.LoginTest","LoginFromProfile","LoginFromProfile",""
"passed","Thu Aug 08 15:16:21 MSK 2024","Thu Aug 08 15:17:12 MSK 2024","50304","","test.RegistrationTest","","test.RegistrationTest","RegistrationWithCorrectData","RegistrationWithCorrectData",""
"passed","Thu Aug 08 15:12:15 MSK 2024","Thu Aug 08 15:12:27 MSK 2024","12048","","test.LoginTest","","test.LoginTest","LoginFromHomePage","LoginFromHomePage",""
"passed","Thu Aug 08 15:11:16 MSK 2024","Thu Aug 08 15:11:24 MSK 2024","7587","","test.ConstructorTest","","test.ConstructorTest","goToFillingSaucesBuns","goToFillingSaucesBuns",""
"passed","Thu Aug 08 15:11:41 MSK 2024","Thu Aug 08 15:11:52 MSK 2024","11692","","test.LoginTest","","test.LoginTest","LoginFromPasswordRecovery","LoginFromPasswordRecovery",""
"passed","Thu Aug 08 15:11:03 MSK 2024","Thu Aug 08 15:11:16 MSK 2024","13175","","test.ConstructorTest","","test.ConstructorTest","goToFilling","goToFilling",""
